k,packet_size,traffic,routing,rate,avg_lat,avg_hops
4,1,uniform,dor,0.05,16.2933,4.74546
4,1,uniform,dor,0.1,16.3363,4.73893
4,1,uniform,dor,0.15,16.465,4.75837
4,1,uniform,dor,0.2,16.5311,4.75585
4,1,uniform,dor,0.25,16.5916,4.74531
4,1,uniform,dor,0.3,16.7468,4.76208
4,1,uniform,dor,0.35,16.8118,4.7458
4,1,uniform,dor,0.4,17.0105,4.75991
4,1,uniform,dor,0.45,17.1292,4.74458
4,1,uniform,dor,0.5,17.3676,4.75536
4,1,uniform,dor,0.55,17.6237,4.75792
4,1,uniform,dor,0.6,17.9035,4.75188
4,1,uniform,dor,0.65,18.2902,4.75904
4,1,uniform,dor,0.7,18.737,4.74922
4,1,uniform,dor,0.75,19.453,4.75593
4,1,uniform,dor,0.8,20.413,4.74657
4,1,uniform,dor,0.85,22.0941,4.75283
4,1,uniform,dor,0.9,25.3205,4.75109
4,1,uniform,dor,0.95,35.5125,4.75683
4,1,uniform,xy_yx,0.05,16.4542,4.79394
4,1,uniform,xy_yx,0.1,16.3948,4.74874
4,1,uniform,xy_yx,0.15,16.4823,4.74652
4,1,uniform,xy_yx,0.2,16.6068,4.75319
4,1,uniform,xy_yx,0.25,16.678,4.74161
4,1,uniform,xy_yx,0.3,16.8164,4.74664
4,1,uniform,xy_yx,0.35,16.9826,4.75022
4,1,uniform,xy_yx,0.4,17.1226,4.73902
4,1,uniform,xy_yx,0.45,17.3361,4.74703
4,1,uniform,xy_yx,0.5,17.6273,4.7602
4,1,uniform,xy_yx,0.55,17.8929,4.75111
4,1,uniform,xy_yx,0.6,18.2517,4.75131
4,1,uniform,xy_yx,0.65,18.7354,4.75744
4,1,uniform,xy_yx,0.7,19.2521,4.75207
4,1,uniform,xy_yx,0.75,20.0792,4.75133
4,1,uniform,xy_yx,0.8,21.2444,4.74886
4,1,uniform,xy_yx,0.85,23.2593,4.75437
4,1,uniform,xy_yx,0.9,27.1293,4.75001
4,1,uniform,xy_yx,0.95,38.1656,4.74876
4,1,uniform,min_adapt,0.05,16.293,4.74546
4,1,uniform,min_adapt,0.1,16.3361,4.73893
4,1,uniform,min_adapt,0.15,16.4648,4.75837
4,1,uniform,min_adapt,0.2,16.5323,4.75585
4,1,uniform,min_adapt,0.25,16.591,4.74531
4,1,uniform,min_adapt,0.3,16.7467,4.76208
4,1,uniform,min_adapt,0.35,16.8137,4.7458
4,1,uniform,min_adapt,0.4,17.0117,4.75991
4,1,uniform,min_adapt,0.45,17.1304,4.74458
4,1,uniform,min_adapt,0.5,17.3674,4.75536
4,1,uniform,min_adapt,0.55,17.6183,4.75792
4,1,uniform,min_adapt,0.6,17.9102,4.75188
4,1,uniform,min_adapt,0.65,18.2857,4.75904
4,1,uniform,min_adapt,0.7,18.7413,4.74922
4,1,uniform,min_adapt,0.75,19.4559,4.75593
4,1,uniform,min_adapt,0.8,20.4277,4.74657
4,1,uniform,min_adapt,0.85,22.0996,4.75283
4,1,uniform,min_adapt,0.9,25.3282,4.75109
4,1,uniform,min_adapt,0.95,35.5037,4.75683
4,1,neighbor,dor,0.05,18.4808,5.49361
4,1,neighbor,dor,0.1,18.4511,5.4837
4,1,neighbor,dor,0.15,18.4425,5.48083
4,1,neighbor,dor,0.2,18.4575,5.48583
4,1,neighbor,dor,0.25,18.4668,5.48895
4,1,neighbor,dor,0.3,18.4907,5.4969
4,1,neighbor,dor,0.35,18.5083,5.50276
4,1,neighbor,dor,0.4,18.5105,5.50349
4,1,neighbor,dor,0.45,18.5118,5.50393
4,1,neighbor,dor,0.5,18.5109,5.50362
4,1,neighbor,dor,0.55,18.5057,5.50189
4,1,neighbor,dor,0.6,18.5025,5.50085
4,1,neighbor,dor,0.65,18.4997,5.4999
4,1,neighbor,dor,0.7,18.4995,5.49984
4,1,neighbor,dor,0.75,18.4967,5.49891
4,1,neighbor,dor,0.8,18.4947,5.49825
4,1,neighbor,dor,0.85,18.5014,5.50047
4,1,neighbor,dor,0.9,18.4998,5.49994
4,1,neighbor,dor,0.95,18.497,5.499
4,1,allreduce,dor,0.05,8.08354,2.02785
4,1,allreduce,dor,0.1,8.09014,2.03005
4,1,allreduce,dor,0.15,8.09212,2.03071
4,1,allreduce,dor,0.2,8.09351,2.03117
4,1,allreduce,dor,0.25,8.09243,2.03081
4,1,allreduce,dor,0.3,8.09253,2.03084
4,1,allreduce,dor,0.35,8.09307,2.03102
4,1,allreduce,dor,0.4,8.09446,2.03149
4,1,allreduce,dor,0.45,8.09472,2.03157
4,1,allreduce,dor,0.5,8.09459,2.03153
4,1,allreduce,dor,0.55,8.09473,2.03158
4,1,allreduce,dor,0.6,8.09519,2.03173
4,1,allreduce,dor,0.65,8.09487,2.03162
4,1,allreduce,dor,0.7,8.09395,2.03132
4,1,allreduce,dor,0.75,8.09416,2.03139
4,1,allreduce,dor,0.8,8.09406,2.03135
4,1,allreduce,dor,0.85,8.09405,2.03135
4,1,allreduce,dor,0.9,8.09425,2.03142
4,1,allreduce,dor,0.95,8.09398,2.03133
4,2,uniform,dor,0.05,17.3775,4.74541
4,2,uniform,dor,0.1,17.5883,4.76281
4,2,uniform,dor,0.15,17.703,4.74325
4,2,uniform,dor,0.2,17.9239,4.75523
4,2,uniform,dor,0.25,18.1921,4.76419
4,2,uniform,dor,0.3,18.4539,4.75516
4,2,uniform,dor,0.35,18.7616,4.75724
4,2,uniform,dor,0.4,19.0771,4.73819
4,2,uniform,dor,0.45,19.543,4.7478
4,2,uniform,dor,0.5,20.042,4.7594
4,2,uniform,dor,0.55,20.5662,4.73928
4,2,uniform,dor,0.6,21.3351,4.74065
4,2,uniform,dor,0.65,22.3659,4.74185
4,2,uniform,dor,0.7,23.7384,4.74753
4,2,uniform,dor,0.75,25.5767,4.75117
4,2,uniform,dor,0.8,28.1863,4.755
4,2,uniform,dor,0.85,32.5209,4.75832
4,2,uniform,dor,0.9,41.5077,4.74894
4,2,uniform,dor,0.95,71.1846,4.75176
4,2,uniform,xy_yx,0.05,17.4374,4.76061
4,2,uniform,xy_yx,0.1,17.5732,4.74157
4,2,uniform,xy_yx,0.15,17.7782,4.74012
4,2,uniform,xy_yx,0.2,17.9901,4.74209
4,2,uniform,xy_yx,0.25,18.2803,4.74758
4,2,uniform,xy_yx,0.3,18.6316,4.75638
4,2,uniform,xy_yx,0.35,18.9637,4.74809
4,2,uniform,xy_yx,0.4,19.3268,4.73398
4,2,uniform,xy_yx,0.45,19.8764,4.74877
4,2,uniform,xy_yx,0.5,20.3719,4.74289
4,2,uniform,xy_yx,0.55,21.2004,4.76107
4,2,uniform,xy_yx,0.6,22.0289,4.75357
4,2,uniform,xy_yx,0.65,23.0688,4.74283
4,2,uniform,xy_yx,0.7,24.4806,4.74857
4,2,uniform,xy_yx,0.75,26.6473,4.75702
4,2,uniform,xy_yx,0.8,29.6017,4.76069
4,2,uniform,xy_yx,0.85,34.5433,4.75324
4,2,uniform,xy_yx,0.9,43.682,4.75336
4,2,uniform,xy_yx,0.95,75.3241,4.76059
4,2,uniform,min_adapt,0.05,17.3779,4.74541
4,2,uniform,min_adapt,0.1,17.5884,4.76281
4,2,uniform,min_adapt,0.15,17.7039,4.74325
4,2,uniform,min_adapt,0.2,17.9231,4.75523
4,2,uniform,min_adapt,0.25,18.1925,4.76419
4,2,uniform,min_adapt,0.3,18.4555,4.75516
4,2,uniform,min_adapt,0.35,18.7626,4.75724
4,2,uniform,min_adapt,0.4,19.0791,4.73819
4,2,uniform,min_adapt,0.45,19.539,4.7478
4,2,uniform,min_adapt,0.5,20.0403,4.7594
4,2,uniform,min_adapt,0.55,20.5694,4.73928
4,2,uniform,min_adapt,0.6,21.33,4.74065
4,2,uniform,min_adapt,0.65,22.3731,4.74185
4,2,uniform,min_adapt,0.7,23.7326,4.74753
4,2,uniform,min_adapt,0.75,25.5772,4.75117
4,2,uniform,min_adapt,0.8,28.1809,4.755
4,2,uniform,min_adapt,0.85,32.5438,4.75832
4,2,uniform,min_adapt,0.9,41.5635,4.74894
4,2,uniform,min_adapt,0.95,70.7502,4.74972
4,2,neighbor,dor,0.05,19.5596,5.51151
4,2,neighbor,dor,0.1,19.534,5.49263
4,2,neighbor,dor,0.15,19.5828,5.49736
4,2,neighbor,dor,0.2,19.6162,5.49627
4,2,neighbor,dor,0.25,19.5808,5.47163
4,2,neighbor,dor,0.3,19.7269,5.50534
4,2,neighbor,dor,0.35,19.7632,5.49737
4,2,neighbor,dor,0.4,19.835,5.49943
4,2,neighbor,dor,0.45,19.9433,5.50672
4,2,neighbor,dor,0.5,20.0265,5.51116
4,2,neighbor,dor,0.55,20.127,5.5044
4,2,neighbor,dor,0.6,20.2479,5.49957
4,2,neighbor,dor,0.65,20.4218,5.49464
4,2,neighbor,dor,0.7,20.6475,5.49718
4,2,neighbor,dor,0.75,21.0298,5.50577
4,2,neighbor,dor,0.8,21.4575,5.50199
4,2,neighbor,dor,0.85,22.3645,5.50476
4,2,neighbor,dor,0.9,23.9794,5.50136
4,2,neighbor,dor,0.95,28.2964,5.50451
4,2,allreduce,dor,0.05,9.10619,2.02702
4,2,allreduce,dor,0.1,9.14458,2.02949
4,2,allreduce,dor,0.15,9.18926,2.03284
4,2,allreduce,dor,0.2,9.22161,2.0314
4,2,allreduce,dor,0.25,9.25004,2.02804
4,2,allreduce,dor,0.3,9.29924,2.02945
4,2,allreduce,dor,0.35,9.36611,2.03168
4,2,allreduce,dor,0.4,9.43132,2.03153
4,2,allreduce,dor,0.45,9.52013,2.03234
4,2,allreduce,dor,0.5,9.58725,2.03139
4,2,allreduce,dor,0.55,9.70674,2.03096
4,2,allreduce,dor,0.6,9.84027,2.03035
4,2,allreduce,dor,0.65,10.0289,2.03033
4,2,allreduce,dor,0.7,10.2518,2.03194
4,2,allreduce,dor,0.75,10.6078,2.03179
4,2,allreduce,dor,0.8,11.0475,2.03199
4,2,allreduce,dor,0.85,11.947,2.03227
4,2,allreduce,dor,0.9,13.5693,2.03133
4,2,allreduce,dor,0.95,17.8777,2.03158
4,4,uniform,dor,0.05,19.4702,4.72821
4,4,uniform,dor,0.1,19.8841,4.73217
4,4,uniform,dor,0.15,20.3861,4.73548
4,4,uniform,dor,0.2,21.0077,4.79802
4,4,uniform,dor,0.25,21.4861,4.76883
4,4,uniform,dor,0.3,21.95,4.75506
4,4,uniform,dor,0.35,22.6217,4.74209
4,4,uniform,dor,0.4,23.5451,4.76519
4,4,uniform,dor,0.45,24.4787,4.73745
4,4,uniform,dor,0.5,25.773,4.75867
4,4,uniform,dor,0.55,27.1918,4.7588
4,4,uniform,dor,0.6,28.8961,4.73953
4,4,uniform,dor,0.65,31.0952,4.75207
4,4,uniform,dor,0.7,34.1378,4.76478
4,4,uniform,dor,0.75,38.0166,4.74508
4,4,uniform,dor,0.8,43.9522,4.75912
4,4,uniform,dor,0.85,53.6769,4.75647
4,4,uniform,dor,0.9,74.3664,4.75053
4,4,uniform,dor,0.95,135.903,4.76392
4,4,uniform,xy_yx,0.05,19.6239,4.77115
4,4,uniform,xy_yx,0.1,20.0815,4.7615
4,4,uniform,xy_yx,0.15,20.4638,4.72899
4,4,uniform,xy_yx,0.2,20.999,4.7244
4,4,uniform,xy_yx,0.25,21.7204,4.75563
4,4,uniform,xy_yx,0.3,22.339,4.74769
4,4,uniform,xy_yx,0.35,23.2322,4.76426
4,4,uniform,xy_yx,0.4,24.067,4.74845
4,4,uniform,xy_yx,0.45,25.2554,4.74538
4,4,uniform,xy_yx,0.5,26.6742,4.75817
4,4,uniform,xy_yx,0.55,28.1769,4.74934
4,4,uniform,xy_yx,0.6,30.2109,4.76492
4,4,uniform,xy_yx,0.65,32.5793,4.74166
4,4,uniform,xy_yx,0.7,35.549,4.74738
4,4,uniform,xy_yx,0.75,40.2128,4.76144
4,4,uniform,xy_yx,0.8,46.7042,4.75811
4,4,uniform,xy_yx,0.85,56.8763,4.74949
4,4,uniform,xy_yx,0.9,79.1498,4.75358
4,4,uniform,xy_yx,0.95,180.881,4.76107
4,4,uniform,min_adapt,0.05,19.4702,4.72821
4,4,uniform,min_adapt,0.1,19.8848,4.73217
4,4,uniform,min_adapt,0.15,20.3887,4.73548
4,4,uniform,min_adapt,0.2,21.0076,4.79802
4,4,uniform,min_adapt,0.25,21.4852,4.76883
4,4,uniform,min_adapt,0.3,21.95,4.75506
4,4,uniform,min_adapt,0.35,22.6199,4.74209
4,4,uniform,min_adapt,0.4,23.5429,4.76519
4,4,uniform,min_adapt,0.45,24.4783,4.73745
4,4,uniform,min_adapt,0.5,25.7748,4.75867
4,4,uniform,min_adapt,0.55,27.1909,4.7588
4,4,uniform,min_adapt,0.6,28.8922,4.73953
4,4,uniform,min_adapt,0.65,31.0809,4.75207
4,4,uniform,min_adapt,0.7,34.131,4.76478
4,4,uniform,min_adapt,0.75,38.0436,4.74508
4,4,uniform,min_adapt,0.8,44.0233,4.75912
4,4,uniform,min_adapt,0.85,53.6371,4.75647
4,4,uniform,min_adapt,0.9,72.7539,4.75383
4,4,uniform,min_adapt,0.95,126.074,4.73973
4,4,neighbor,dor,0.05,21.5337,5.48819
4,4,neighbor,dor,0.1,21.6758,5.50063
4,4,neighbor,dor,0.15,21.7453,5.49607
4,4,neighbor,dor,0.2,21.8465,5.49026
4,4,neighbor,dor,0.25,22.0576,5.51142
4,4,neighbor,dor,0.3,22.1578,5.50525
4,4,neighbor,dor,0.35,22.2293,5.48334
4,4,neighbor,dor,0.4,22.4977,5.50514
4,4,neighbor,dor,0.45,22.7361,5.4965
4,4,neighbor,dor,0.5,23.0067,5.50125
4,4,neighbor,dor,0.55,23.2812,5.48664
4,4,neighbor,dor,0.6,23.7403,5.50698
4,4,neighbor,dor,0.65,24.2796,5.50727
4,4,neighbor,dor,0.7,24.9339,5.49256
4,4,neighbor,dor,0.75,26.0639,5.50956
4,4,neighbor,dor,0.8,27.6256,5.50099
4,4,neighbor,dor,0.85,29.8656,5.51156
4,4,neighbor,dor,0.9,34.7511,5.4999
4,4,neighbor,dor,0.95,51.35,5.50308
4,4,allreduce,dor,0.05,11.149,2.02662
4,4,allreduce,dor,0.1,11.2752,2.03377
4,4,allreduce,dor,0.15,11.3647,2.03588
4,4,allreduce,dor,0.2,11.466,2.03011
4,4,allreduce,dor,0.25,11.6036,2.02674
4,4,allreduce,dor,0.3,11.7393,2.03242
4,4,allreduce,dor,0.35,11.8805,2.03373
4,4,allreduce,dor,0.4,12.0696,2.0291
4,4,allreduce,dor,0.45,12.3486,2.03403
4,4,allreduce,dor,0.5,12.594,2.03036
4,4,allreduce,dor,0.55,12.9187,2.03247
4,4,allreduce,dor,0.6,13.3091,2.02992
4,4,allreduce,dor,0.65,13.8504,2.03087
4,4,allreduce,dor,0.7,14.5502,2.0313
4,4,allreduce,dor,0.75,15.622,2.02894
4,4,allreduce,dor,0.8,17.2097,2.02899
4,4,allreduce,dor,0.85,19.4262,2.03175
4,4,allreduce,dor,0.9,24.3473,2.03197
4,4,allreduce,dor,0.95,40.9358,2.03169
4,8,uniform,dor,0.05,23.9305,4.7377
4,8,uniform,dor,0.1,24.7708,4.76094
4,8,uniform,dor,0.15,25.8026,4.77226
4,8,uniform,dor,0.2,26.9536,4.749
4,8,uniform,dor,0.25,28.3296,4.74737
4,8,uniform,dor,0.3,29.7636,4.76677
4,8,uniform,dor,0.35,31.5323,4.7701
4,8,uniform,dor,0.4,33.2911,4.77885
4,8,uniform,dor,0.45,35.322,4.76763
4,8,uniform,dor,0.5,37.5604,4.75609
4,8,uniform,dor,0.55,41.2218,4.77573
4,8,uniform,dor,0.6,44.852,4.75206
4,8,uniform,dor,0.65,49.366,4.75504
4,8,uniform,dor,0.7,55.2988,4.73143
4,8,uniform,dor,0.75,63.9386,4.73605
4,8,uniform,dor,0.8,77.297,4.77265
4,8,uniform,dor,0.85,101.164,4.75311
4,8,uniform,dor,0.9,145.504,4.76495
4,8,uniform,dor,0.95,345.888,4.74823
4,8,uniform,xy_yx,0.05,23.9895,4.72721
4,8,uniform,xy_yx,0.1,24.9678,4.73691
4,8,uniform,xy_yx,0.15,26.5043,4.808
4,8,uniform,xy_yx,0.2,27.6629,4.77283
4,8,uniform,xy_yx,0.25,28.989,4.74654
4,8,uniform,xy_yx,0.3,30.6944,4.7439
4,8,uniform,xy_yx,0.35,32.4394,4.75656
4,8,uniform,xy_yx,0.4,34.4506,4.73866
4,8,uniform,xy_yx,0.45,37.2926,4.76515
4,8,uniform,xy_yx,0.5,39.7427,4.75874
4,8,uniform,xy_yx,0.55,43.1772,4.76066
4,8,uniform,xy_yx,0.6,47.5892,4.74943
4,8,uniform,xy_yx,0.65,52.1288,4.74445
4,8,uniform,xy_yx,0.7,59.1493,4.74894
4,8,uniform,xy_yx,0.75,69.4248,4.74446
4,8,uniform,xy_yx,0.8,83.6921,4.7258
4,8,uniform,xy_yx,0.85,107.511,4.74779
4,8,uniform,xy_yx,0.9,194.524,4.74511
4,8,uniform,xy_yx,0.95,411.665,4.75018
4,8,uniform,min_adapt,0.05,23.9305,4.7377
4,8,uniform,min_adapt,0.1,24.7708,4.76094
4,8,uniform,min_adapt,0.15,25.804,4.77226
4,8,uniform,min_adapt,0.2,26.9511,4.749
4,8,uniform,min_adapt,0.25,28.3285,4.74737
4,8,uniform,min_adapt,0.3,29.7681,4.76677
4,8,uniform,min_adapt,0.35,31.5406,4.7701
4,8,uniform,min_adapt,0.4,33.2953,4.77885
4,8,uniform,min_adapt,0.45,35.3331,4.76763
4,8,uniform,min_adapt,0.5,37.5443,4.75609
4,8,uniform,min_adapt,0.55,41.2288,4.77573
4,8,uniform,min_adapt,0.6,44.8912,4.75206
4,8,uniform,min_adapt,0.65,49.4867,4.75504
4,8,uniform,min_adapt,0.7,56.5669,4.76504
4,8,uniform,min_adapt,0.75,63.6158,4.7472
4,8,uniform,min_adapt,0.8,77.2663,4.76353
4,8,uniform,min_adapt,0.85,98.1965,4.74845
4,8,uniform,min_adapt,0.9,148.588,4.75144
4,8,uniform,min_adapt,0.95,364.276,4.75923
4,8,neighbor,dor,0.05,25.6033,5.47934
4,8,neighbor,dor,0.1,25.8768,5.51588
4,8,neighbor,dor,0.15,26.1106,5.49745
4,8,neighbor,dor,0.2,26.3269,5.48872
4,8,neighbor,dor,0.25,26.6177,5.48106
4,8,neighbor,dor,0.3,27.055,5.49966
4,8,neighbor,dor,0.35,27.3992,5.49029
4,8,neighbor,dor,0.4,27.959,5.5303
4,8,neighbor,dor,0.45,28.2768,5.48721
4,8,neighbor,dor,0.5,28.9349,5.50704
4,8,neighbor,dor,0.55,29.897,5.51269
4,8,neighbor,dor,0.6,30.7857,5.50774
4,8,neighbor,dor,0.65,31.9343,5.50048
4,8,neighbor,dor,0.7,33.7744,5.51163
4,8,neighbor,dor,0.75,36.0591,5.49784
4,8,neighbor,dor,0.8,38.9177,5.50122
4,8,neighbor,dor,0.85,44.1873,5.49161
4,8,neighbor,dor,0.9,55.4409,5.51485
4,8,neighbor,dor,0.95,77.032,5.50559
4,8,allreduce,dor,0.05,15.2479,2.02754
4,8,allreduce,dor,0.1,15.4219,2.0309
4,8,allreduce,dor,0.15,15.7067,2.0295
4,8,allreduce,dor,0.2,15.957,2.03206
4,8,allreduce,dor,0.25,16.2747,2.03337
4,8,allreduce,dor,0.3,16.6643,2.03609
4,8,allreduce,dor,0.35,17.0095,2.02707
4,8,allreduce,dor,0.4,17.4596,2.0305
4,8,allreduce,dor,0.45,17.9076,2.03081
4,8,allreduce,dor,0.5,18.5132,2.03315
4,8,allreduce,dor,0.55,19.4498,2.0303
4,8,allreduce,dor,0.6,20.365,2.03415
4,8,allreduce,dor,0.65,21.5232,2.03011
4,8,allreduce,dor,0.7,23.3416,2.03403
4,8,allreduce,dor,0.75,25.6571,2.03051
4,8,allreduce,dor,0.8,28.2481,2.02963
4,8,allreduce,dor,0.85,33.8056,2.03102
4,8,allreduce,dor,0.9,44.9858,2.02983
4,8,allreduce,dor,0.95,66.6079,2.0309
4,16,uniform,dor,0.05,32.9372,4.69619
4,16,uniform,dor,0.1,34.7169,4.74509
4,16,uniform,dor,0.15,37.4008,4.73472
4,16,uniform,dor,0.2,39.3026,4.75697
4,16,uniform,dor,0.25,42.4404,4.7771
4,16,uniform,dor,0.3,44.989,4.81818
4,16,uniform,dor,0.35,49.3772,4.78374
4,16,uniform,dor,0.4,53.7609,4.80198
4,16,uniform,dor,0.45,58.869,4.72597
4,16,uniform,dor,0.5,62.925,4.74497
4,16,uniform,dor,0.55,72.3255,4.76726
4,16,uniform,dor,0.6,80.3244,4.76985
4,16,uniform,dor,0.65,95.2397,4.76247
4,16,uniform,dor,0.7,114.639,4.75152
4,16,uniform,dor,0.75,166.137,4.74473
4,16,uniform,dor,0.8,252.945,4.7453
4,16,uniform,dor,0.85,491.193,4.73758
4,16,uniform,dor,0.9,nan,nan
4,16,uniform,dor,0.95,nan,nan
4,16,uniform,xy_yx,0.05,33.5922,4.76519
4,16,uniform,xy_yx,0.1,35.5845,4.77851
4,16,uniform,xy_yx,0.15,37.7266,4.72722
4,16,uniform,xy_yx,0.2,40.0559,4.71638
4,16,uniform,xy_yx,0.25,43.6743,4.69769
4,16,uniform,xy_yx,0.3,47.3985,4.74603
4,16,uniform,xy_yx,0.35,52.4747,4.76699
4,16,uniform,xy_yx,0.4,55.8831,4.7598
4,16,uniform,xy_yx,0.45,63.21,4.79713
4,16,uniform,xy_yx,0.5,68.9212,4.78711
4,16,uniform,xy_yx,0.55,76.5676,4.73459
4,16,uniform,xy_yx,0.6,90.5592,4.75487
4,16,uniform,xy_yx,0.65,106.224,4.75437
4,16,uniform,xy_yx,0.7,127.244,4.75852
4,16,uniform,xy_yx,0.75,174.946,4.73709
4,16,uniform,xy_yx,0.8,315.967,4.76699
4,16,uniform,xy_yx,0.85,nan,nan
4,16,uniform,xy_yx,0.9,nan,nan
4,16,uniform,xy_yx,0.95,nan,nan
4,16,uniform,min_adapt,0.05,32.9372,4.69619
4,16,uniform,min_adapt,0.1,34.7182,4.74509
4,16,uniform,min_adapt,0.15,37.3962,4.73472
4,16,uniform,min_adapt,0.2,39.1942,4.74625
4,16,uniform,min_adapt,0.25,42.3016,4.78329
4,16,uniform,min_adapt,0.3,45.0737,4.76531
4,16,uniform,min_adapt,0.35,49.5285,4.81149
4,16,uniform,min_adapt,0.4,53.1047,4.76975
4,16,uniform,min_adapt,0.45,57.4184,4.76792
4,16,uniform,min_adapt,0.5,64.4639,4.76255
4,16,uniform,min_adapt,0.55,71.0681,4.73002
4,16,uniform,min_adapt,0.6,82.7944,4.76975
4,16,uniform,min_adapt,0.65,93.6706,4.75734
4,16,uniform,min_adapt,0.7,120.939,4.75396
4,16,uniform,min_adapt,0.75,153.801,4.73361
4,16,uniform,min_adapt,0.8,243.745,4.76808
